Entity,Code,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths),Air pollution (outdoor & indoor) (deaths),Outdoor air pollution (deaths)
India,IND,1990,807723.2259,636517.8157,430219.2519,691699.0043,122801.6815,6598.317849,861136.0094,292368.8095,518771.2578,189345.941,292070.0358,17754.50585,249311.9691,182861.6502,31745.48756,74071.88525,363235.9547,308292.0591,91428.55886,705723.705,650770.8855,49941.85417,37263.25767,253043.6729,34791.15994,1018675.716,368426.57
India,IND,1991,811265.9069,638456.6346,430207.6328,693852.4155,120834.7021,6663.946536,847509.4954,286347.2117,517552.4203,193888.807,304697.5352,18603.01624,254768.8044,186950.9077,32521.20421,76316.08323,378733.637,,95150.8897,725433.7672,668334.501,49908.32147,36543.30649,252792.1933,36044.47147,1031705.573,380247.34
India,IND,1992,809832.0949,636020.6287,428346.3225,693823.3194,118244.3909,6512.996663,832721.1036,279956.2927,518919.9417,198873.2296,315478.5302,19473.64209,261397.0316,191873.9329,34843.32798,79011.72628,396105.2574,,100634.2987,749610.512,680410.727,50191.13541,36014.07694,251328.0789,37571.27674,1043888.599,393196
India,IND,1993,798193.5484,625142.5128,421085.3844,680356.2421,113499.5935,6086.902085,810052.0576,271468.1619,513340.6056,198535.6007,325331.1102,20093.12451,261257.0233,191682.038,36321.75607,79483.20676,404204.2891,,103813.7454,754994.8513,686448.7975,47460.49254,35379.89911,247549.7745,38435.52799,1034362.609,397038.19
India,IND,1994,782064.1082,611345.708,411623.0162,670049.3665,108452.8797,5617.580276,791943.3607,264109.3303,504012.3415,199021.2449,336492.8354,21102.17313,263751.2068,193294.2058,39498.28058,80402.09185,414214.7379,,108392.9611,765792.6243,694103.4948,45612.41468,34852.89666,243826.8134,39453.15908,1030296.89,403537.63
India,IND,1995,770997.9855,601637.2419,404314.4473,659136.639,103304.9803,5169.259357,774324.8941,256868.2609,492793.3317,199278.0944,343967.3817,22350.91212,264534.9823,193624.7415,44900.2929,81248.62434,423015.2223,354293.896,113125.4519,773606.5719,694732.7861,44383.51234,34225.51489,239076.3561,40524.9775,1025386.182,409781.43
India,IND,1996,757174.1992,590231.3711,395475.5173,653262.9633,97235.34133,4726.993619,748657.0839,247856.3891,478349.57,201058.4099,357996.7502,23896.57401,271363.3545,197918.901,52868.00583,83855.51168,443759.5986,,122574.2745,798854.3238,711212.5966,43974.78331,33122.41554,231963.9196,42058.46214,1032461.343,423644.74
India,IND,1997,756259.4763,589696.9919,393456.1289,671861.3869,92509.35738,4401.07882,721795.7415,238291.6444,474000.3106,208476.4526,387325.1328,26507.92501,289011.7745,209984.4153,64890.68695,90288.65231,485639.0388,,139406.1912,857176.0917,753639.8494,45966.20078,31794.2361,224598.0779,44881.27474,1072920.003,448222.13
India,IND,1998,750757.1052,585826.0562,388720.258,668996.9391,88892.96233,4253.957251,691683.7054,227056.9826,472692.504,209418.0484,401047.4965,28833.3329,292591.4222,211860.4878,78223.82626,92745.2194,506349.6818,,151680.5014,876937.6622,758057.4011,46972.57088,30339.15139,215951.7877,46683.37833,1079256.954,458498.8
India,IND,1999,741045.3527,577967.4818,381265.1672,642748.1845,86196.15713,4293.700457,661414.8974,215472.7701,462179.2557,204088.1613,406780.9301,31394.26873,288508.1597,208542.306,93103.08593,92085.89652,511206.9373,,160323.108,870808.3317,733003.1458,47894.2587,28856.07914,206307.9322,47501.3733,1050957.123,454968.32
